dataset,action_id,issue_pair_id,baseline_report_id,ours_report_id,checker_family,checker,kind,lifecycle_applicable,evidence,transition,baseline_locations,ours_locations
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,7456079741e98f1a5dc5,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|4,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|6,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,27e284a57b6760e052dc,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|15,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|17,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,27e284a57b6760e052dc,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|15,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|17,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,27e284a57b6760e052dc,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|15,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|17,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,c470a670d659c9e4ece4,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|6,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|8,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,c470a670d659c9e4ece4,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|6,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|8,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,c470a670d659c9e4ece4,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|6,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|8,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,68b91dcc5ecb579ca2a2,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|1,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|3,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,68b91dcc5ecb579ca2a2,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|1,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|3,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,68b91dcc5ecb579ca2a2,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|1,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|3,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:179:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/allocator.h:109:13,foundation/graphic/graphic_3d/lume/LumeBase/api/base/containers/shared_ptr.h:179:13;prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/allocator.h:109:13
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,ce16ea5739e265ac7d09,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|14,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|16,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,ce16ea5739e265ac7d09,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|14,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|16,cplusplus,cplusplus.NewDeleteLeaks,leak,True,release,absent_in_both,,
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,ce16ea5739e265ac7d09,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|14,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|16,cplusplus,cplusplus.NewDeleteLeaks,leak,True,branch,retained,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_compile/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16,prebuilts/clang/ohos/linux-x86_64/llvm_ohos_exp/include/libcxx-ohos/include/c++/v1/__memory/shared_ptr.h:833:16
OpenHarmony,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist,ba0772112dd9162303fa,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|13,oh:CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|CameraImpl.cpp_clangsa_ab169f87430aaab2d7b7fdde350907dd.plist|15,cplusplus,cplusplus.NewDeleteLeaks,leak,True,allocation,retained,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12,prebuilts/taihe/ohos/linux-x86_64/taihe/include/taihe/object.hpp:132:12
