dataset,action_id,source_path,status,reason,action_count,baseline_plist_count,ours_plist_count,baseline_configs,ours_configs
OpenHarmony,oh:ani_color_filter.cpp_clangsa_0c7e1b57bfae4493730326d8648d9140.plist,ani_color_filter.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_color_picker.cpp_clangsa_75cc017f6ebc56a6c876e80b36dd468c.plist,ani_color_picker.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_color_space_manager.cpp_clangsa_032180675a2e51ecac2a38cbf3ef6936.plist,ani_color_space_manager.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_color_space_manager_module.cpp_clangsa_b6049c0ba2064a9812d5490899b47cbf.plist,ani_color_space_manager_module.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_color_space_object_convertor.cpp_clangsa_1c69cd311de9d889c5f6a9e712e62f0d.plist,ani_color_space_object_convertor.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_constructor.cpp_clangsa_430e9a158c3e20c43cd5939be34619c5.plist,ani_constructor.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_constructor.cpp_clangsa_dd2cfda5bad906c59b09f16e9a1ce37f.plist,ani_constructor.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_constructor.cpp_clangsa_e7660efb953ecdd4edf82b4a453f3b3a.plist,ani_constructor.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_drawing_cache_utils.cpp_clangsa_3059179cdff69a1051564ffb924d1f36.plist,ani_drawing_cache_utils.cpp,ours_only_input,released_ours_result,1,0,1,,
OpenHarmony,oh:ani_drawing_module.cpp_clangsa_78046008446b8b98725c4fac5c620a66.plist,ani_drawing_module.cpp,ours_only_input,released_ours_result,1,0,1,,
